"match_id","innings_1_score","runs_to_win","wickets_in_hand","bowler_runs","bowler_econ","bowler_wickets","bowler_boundaries","batsman_runs","batsman_sr","batsman_boundaries","non_striker_runs","non_striker_sr","non_striker_boundaries","bowler_eg_games","bowler_eg_runs","bowler_eg_economy","bowler_eg_wickets","batsman_eg_games","batsman_eg_runs","batsman_eg_sr","non_striker_eg_games","non_striker_eg_runs","non_striker_eg_sr","bowler_lt_games","bowler_lt_runs","bowler_lt_economy","bowler_lt_wickets","batsman_lt_games","batsman_lt_runs","batsman_lt_sr","non_striker_lt_games","non_striker_lt_runs","non_striker_lt_sr","match_result"
"598065","178","7","6","43","14.3333","0","7","54","234.7826","8","20","133.3333","2","30","439","11.4522","21","110","1783","177.2366","84","1478","183.8308","36","1031","8.8625","37","144","3044","150.9921","194","5230","131.0449","Lost"
"598058","152","48","2","18","6.0000","1","2","1","50.0000","0","1","33.3333","0","58","877","10.4821","39","42","180","96.2567","4","17","85.0000","73","2083","8.2659","85","42","183","94.3299","4","17","85.0000","Won"
"598032","263","136","3",NULL,NULL,NULL,NULL,"1","100.0000","0","11","84.6154","1","20","234","9.2368","9","3","10","71.4286","25","244","131.8919","38","755","8.1769","19","3","10","71.4286","38","514","109.3617","Won"
"598047","187","24","2",NULL,NULL,NULL,NULL,"1","100.0000","0","2","66.6667","0","20","234","9.2368","9","14","20","50.0000","3","3","50.0000","38","755","8.1769","19","16","26","54.1667","3","3","50.0000","Won"
"1082634","148","13","4","30","10.0000","2","4","8","160.0000","0","3","100.0000","0","59","941","10.9419","48","16","172","157.7982","22","133","160.2410","79","2447","8.9307","88","17","187","152.0325","23","139","151.0870","Won"
"1082631","155","5","4",NULL,NULL,NULL,NULL,"0","0.0000","0","3","33.3333","0","3","30","12.8571","0","18","109","151.3889","27","297","144.8780","19","323","8.9722","7","21","186","125.6757","34","446","120.2156","Lost"
"548355","158","5","4","23","7.6667","0","3","0","0.0000","0","0","0.0000","0","80","1172","10.7032","62","12","73","117.7419","67","424","123.6152","104","3037","8.5670","127","12","127","92.0290","75","584","111.8774","Lost"
"548359","177","53","2","14","4.6667","2","3","1","50.0000","0","8","114.2857","0","72","961","9.9931","55","51","294","113.5135","29","310","158.9744","105","2742","8.1124","107","57","340","108.9744","50","672","117.2775","Won"
"548314","191","40","2","18","6.0000","1","1","7","233.3333","1","7","100.0000","0","20","272","10.1366","17","51","294","113.5135","39","439","157.3477","23","639","8.1057","31","57","340","108.9744","45","527","136.8831","Won"
"1082591","207","43","1","28","9.3333","0","4","2","40.0000","0",NULL,NULL,NULL,"10","147","11.6053","3","12","18","48.6486","3","25","125.0000","17","430","9.1815","12","14","22","43.1373","3","25","125.0000","Won"
"1082607","161","31","2","17","5.6667","2","2","5","125.0000","0","2","100.0000","0","25","345","10.1471","16","8","49","108.8889","2","2","50.0000","36","993","8.8006","31","10","59","103.5088","3","7","58.3333","Won"
"1082624","157","70","1","17","5.6667","1","1","3","100.0000","0","1","20.0000","0","26","360","11.0769","13","8","49","108.8889","12","18","48.6486","40","1062","8.1379","36","10","59","103.5088","14","22","43.1373","Won"
"729302","140","24","1","11","3.6667","1","0","1","100.0000","0","13","86.6667","0","67","603","7.7974","32","6","12","40.0000","18","99","101.0204","151","3756","6.9771","153","6","18","47.3684","20","104","96.2963","Won"
"829736","167","10","4","21","7.0000","0","2","15","250.0000","2","15","214.2857","2","23","323","9.9897","22","28","214","131.2883","22","214","146.5753","32","945","7.8860","45","34","317","115.6934","23","280","145.0777","Won"
"829756","157","30","2","23","7.6667","0","2","0","0.0000","0",NULL,NULL,NULL,"80","1172","10.7032","62","28","214","131.2883","42","180","96.2567","104","3037","8.5670","127","34","317","115.6934","42","183","94.3299","Won"
"829826","139","5","4","21","7.0000","0","2","22","88.0000","1",NULL,NULL,NULL,"26","357","10.7100","16","141","2769","177.5000","103","1102","145.9603","46","1380","8.9417","50","182","4631","137.3776","136","2159","127.4498","Lost"
"419112","212","12","5","15","5.0000","1","1","4","133.3333","0","41","141.3793","4","114","1526","8.1970","122","8","49","122.5000","12","73","117.7419","122","3481","7.3880","188","11","79","101.2821","12","127","92.0290","Won"
"419155","174","46","3","13","4.3333","2","0","18","120.0000","2","25","178.5714","3","41","364","8.1798","28","13","120","116.5049","2","33","165.0000","157","4038","7.1808","161","16","194","116.1677","2","34","154.5455","Won"
"392194","189","15","3","27","9.0000","0","4",NULL,NULL,NULL,"12","100.0000","1","26","313","9.0288","21","4","36","128.5714","57","637","157.6733","29","815","7.5697","38","5","36","120.0000","67","975","142.7526","Won"
"392232","147","3","7","17","5.6667","1","2","60","105.2632","5","19","90.4762","1","110","1876","9.6287","108","5","96","195.9184","141","2769","177.5000","137","3869","8.5597","175","32","1107","138.5482","182","4631","137.3776","Lost"
